FWHM_l (meV),FWHM_g (meV),RP,3P1V Ratio
110.0,10.0,40076,0.3554476179717297
110.0,20.0,20038,0.3629584720938698
110.0,30.0,13358,0.3750250735998217
110.0,40.0,10019,0.39128453265211566
110.0,50.0,8015,0.41153016724627106
110.0,60.0,6679,0.43569317940499225
110.0,70.0,5725,0.463717541011101
110.0,80.0,5009,0.49538755442013005
110.0,90.0,4452,0.5302003791992679
110.0,100.0,4007,0.5673496359828495
110.0,110.0,3643,0.6056050454884334
110.0,120.0,3339,0.6439400428015956
110.0,130.0,3082,0.681341101435175
110.0,140.0,2862,0.7168584892618116
110.0,150.0,2671,0.749719518919525
110.5,10.0,40076,0.3577159601395172
110.5,20.0,20038,0.3652129611778229
110.5,30.0,13358,0.3772610744917478
110.5,40.0,10019,0.3934991929775196
110.5,50.0,8015,0.4137188889237287
110.5,60.0,6679,0.43784630163944477
110.5,70.0,5725,0.46581829893801213
110.5,80.0,5009,0.49741240075766485
110.5,90.0,4452,0.5321217783383098
110.5,100.0,4007,0.5691400619471622
110.5,110.0,3643,0.6072161774046443
110.5,120.0,3339,0.6453785517885379
110.5,130.0,3082,0.682596914903064
110.5,140.0,2862,0.717928730638382
110.5,150.0,2671,0.7506079693284101
111.0,10.0,40076,0.3599817746432834
111.0,20.0,20038,0.36746475932211137
111.0,30.0,13358,0.3794940448852344
111.0,40.0,10019,0.39571028597408464
111.0,50.0,8015,0.4159033272878644
111.0,60.0,6679,0.4399943010842454
111.0,70.0,5725,0.46791306617395734
111.0,80.0,5009,0.4994304775011959
111.0,90.0,4452,0.5340358223826284
111.0,100.0,4007,0.5709228045106138
111.0,110.0,3643,0.6088195989372216
111.0,120.0,3339,0.6468095681587211
111.0,130.0,3082,0.6838456659598972
111.0,140.0,2862,0.7189925034756325
111.0,150.0,2671,0.7514906559760612
111.5,10.0,40076,0.36224497782504533
111.5,20.0,20038,0.369713784681893
111.5,30.0,13358,0.3817239068523392
111.5,40.0,10019,0.3979177399002154
111.5,50.0,8015,0.41808341913245733
111.5,60.0,6679,0.44213712548295514
111.5,70.0,5725,0.47000180343514747
111.5,80.0,5009,0.5014417592986696
111.5,90.0,4452,0.535942499505717
111.5,100.0,4007,0.5726814665850002
111.5,110.0,3643,0.6104153204754355
111.5,120.0,3339,0.648233109418377
111.5,130.0,3082,0.6850873768620761
111.5,140.0,2862,0.7200498326079989
111.5,150.0,2671,0.7523676043983698
112.0,10.0,40076,0.36450265267576243
112.0,20.0,20038,0.37195995629009093
112.0,30.0,13358,0.3839505833338801
112.0,40.0,10019,0.4001214838732601
112.0,50.0,8015,0.4202591020971894
112.0,60.0,6679,0.44427472339446605
112.0,70.0,5725,0.4720844721911747
112.0,80.0,5009,0.503446221457166
112.0,90.0,4452,0.5378417984249878
112.0,100.0,4007,0.5744250566906001
112.0,110.0,3643,0.6120033527082028
112.0,120.0,3339,0.6496491932703714
112.0,130.0,3082,0.6863220699747135
112.0,140.0,2862,0.7211007429075509
112.0,150.0,2671,0.7532388401153212
112.5,10.0,40076,0.3667508471332213
112.5,20.0,20038,0.3742031940578996
112.5,30.0,13358,0.3861739981397609
112.5,40.0,10019,0.40232144786916635
112.5,50.0,8015,0.42243031466610614
112.5,60.0,6679,0.4464070441900447
112.5,70.0,5725,0.47416103466087894
112.5,80.0,5009,0.5054438399381093
112.5,90.0,4452,0.5397337083968647
112.5,100.0,4007,0.5761609731548943
112.5,110.0,3643,0.6135837066200392
112.5,120.0,3339,0.6510578376107938
112.5,130.0,3082,0.6875497677689161
112.5,140.0,2862,0.7221452592819837
112.5,150.0,2671,0.7541043886296287
113.0,10.0,40076,0.36899606957170633
113.0,20.0,20038,0.37644341877514514
113.0,30.0,13358,0.38839407594914105
113.0,40.0,10019,0.40451756272199096
113.0,50.0,8015,0.4245969961659525
113.0,60.0,6679,0.44853403805028313
113.0,70.0,5725,0.47623145380815146
113.0,80.0,5009,0.5074345913524516
113.0,90.0,4452,0.5416182192118807
113.0,100.0,4007,0.5778892180730113
113.0,110.0,3643,0.61515639348702
113.0,120.0,3339,0.652459060525575
113.0,130.0,3082,0.6887704928191023
113.0,140.0,2862,0.7231834066726295
113.0,150.0,2671,0.7549642754253967
113.5,10.0,40076,0.3712382404085074
113.5,20.0,20038,0.37867133577850287
113.5,30.0,13358,0.39061074231045806
113.5,40.0,10019,0.4067097601232707
113.5,50.0,8015,0.4267590867643885
113.5,60.0,6679,0.4506556559619636
113.5,70.0,5725,0.4782956933376873
113.5,80.0,5009,0.5094184529558293
113.5,90.0,4452,0.5434953211897623
113.5,100.0,4007,0.5796097939407938
113.5,110.0,3643,0.6167214248727633
113.5,120.0,3339,0.6538528802871203
113.5,130.0,3082,0.6899842678003398
113.5,140.0,2862,0.7242152100524899
113.5,150.0,2671,0.7558185259667938
114.0,10.0,40076,0.37347728095391836
114.0,20.0,20038,0.38089502579263407
114.0,30.0,13358,0.3928239236412997
114.0,40.0,10019,0.4088979726212494
114.0,50.0,8015,0.428916527468087
114.0,60.0,6679,0.4527718497148316
114.0,70.0,5725,0.48035371769068014
114.0,80.0,5009,0.5113954026436961
114.0,90.0,4452,0.5453650051745166
114.0,100.0,4007,0.5813227036502522
114.0,110.0,3643,0.618278812624432
114.0,120.0,3339,0.6552393153509679
114.0,130.0,3082,0.6911911154857042
114.0,140.0,2862,0.7252406944242924
114.0,150.0,2671,0.7566671656967495
114.5,10.0,40076,0.37571311341099656
114.5,20.0,20038,0.3831153563210493
114.5,30.0,13358,0.39503354722813516
114.5,40.0,10019,0.411082133619972
114.5,50.0,8015,0.43106926012071584
114.5,60.0,6679,0.45488257189828707
114.5,70.0,5725,0.48240549204047234
114.5,80.0,5009,0.5133654189464336
114.5,90.0,4452,0.5472272625295129
114.5,100.0,4007,0.5830279504850282
114.5,110.0,3643,0.6198285688687528
114.5,120.0,3339,0.6566183843524704
114.5,130.0,3082,0.6923910587436637
114.5,140.0,2862,0.7262598848185691
114.5,150.0,2671,0.7575102200356676
115.0,10.0,40076,0.37794566087518694
115.0,20.0,20038,0.385332252325534
115.0,30.0,13358,0.3972352645115481
115.0,40.0,10019,0.4132621773782406
115.0,50.0,8015,0.433217227400803
115.0,60.0,6679,0.4569877758979921
115.0,70.0,5725,0.4844509822881458
115.0,80.0,5009,0.5153284810244376
115.0,90.0,4452,0.5490820851325627
115.0,100.0,4007,0.5847255381158706
115.0,110.0,3643,0.6213707060080564
115.0,120.0,3339,0.6579901061035016
115.0,130.0,3082,0.6935841205354862
115.0,140.0,2862,0.7272728062917495
115.0,150.0,2671,0.7583477143801569
115.5,10.0,40076,0.38017484733381113
115.5,20.0,20038,0.38754563965721167
115.5,30.0,13358,0.39942622956590623
115.5,40.0,10019,0.4154380390084391
115.5,50.0,8015,0.4353603728194922
115.5,60.0,6679,0.45908741589239627
115.5,70.0,5725,0.48649015505807414
115.5,80.0,5009,0.5172845686631876
115.5,90.0,4452,0.5509199714247386
115.5,100.0,4007,0.5864154705961224
115.5,110.0,3643,0.622905236716334
115.5,120.0,3339,0.65935449958918
115.5,130.0,3082,0.6947703239126745
115.5,140.0,2862,0.7282794839242941
115.5,150.0,2671,0.759179674101788
116.0,10.0,40076,0.3824005976654262
116.0,20.0,20038,0.38975544505581083
116.0,30.0,13358,0.40161331149925417
116.0,40.0,10019,0.4176096544752285
116.0,50.0,8015,0.4374986407181922
116.0,60.0,6679,0.46118144684918333
116.0,70.0,5725,0.4885229776934193
116.0,80.0,5009,0.5192336622682907
116.0,90.0,4452,0.5527373150177805
116.0,100.0,4007,0.5880977523572211
116.0,110.0,3643,0.6244321739353168
116.0,120.0,3339,0.6607115839646214
116.0,130.0,3082,0.6959496920144188
116.0,140.0,2862,0.7292799428188239
116.0,150.0,2671,0.760006124545853
